City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Horadiz,39.4488,47.3353,50.77,77,100,1.92,AZ,2021-10-29 23:57:01
1,Ndele,8.4109,20.6473,72.52,72,100,1.48,CF,2021-10-29 23:57:01
2,Ahuimanu,21.4447,-157.8378,86.77,64,90,9.22,US,2021-10-29 23:57:02
3,Hamilton,39.1834,-84.5333,58.05,97,90,1.01,US,2021-10-29 23:57:02
4,Francisco Sa,-16.4758,-43.4883,78.94,50,69,10.71,BR,2021-10-29 23:57:03
5,Airai,-8.9266,125.4092,71.13,62,81,2.08,TL,2021-10-29 23:57:03
6,Mayo,38.8876,-76.5119,61.99,96,90,4.0,US,2021-10-29 23:57:04
7,Qaanaaq,77.484,-69.3632,14.27,70,100,8.19,GL,2021-10-29 23:57:04
8,Atuona,-9.8,-139.0333,77.38,72,24,12.39,PF,2021-10-29 23:57:05
9,Loma Bonita,8.3833,-80.1667,78.35,83,75,11.5,PA,2021-10-29 23:57:05
10,Hirara,24.8,125.2833,75.47,78,75,3.44,JP,2021-10-29 23:57:05
11,Saint-Philippe,-21.3585,55.7679,69.48,83,40,7.36,RE,2021-10-29 23:57:06
12,Bredasdorp,-34.5322,20.0403,59.29,88,32,6.91,ZA,2021-10-29 23:57:06
13,San Patricio,28.017,-97.5169,77.09,25,0,8.88,US,2021-10-29 23:57:07
14,Ixtapa,20.7,-105.2,83.23,87,38,2.91,MX,2021-10-29 23:57:07
15,Hobart,-42.8794,147.3294,53.26,62,75,3.0,AU,2021-10-29 23:55:50
16,Rikitea,-23.1203,-134.9692,75.99,78,95,17.05,PF,2021-10-29 23:57:08
17,Castro,-24.7911,-50.0119,61.38,93,44,11.14,BR,2021-10-29 23:57:08
18,New Norfolk,-42.7826,147.0587,52.92,58,70,4.0,AU,2021-10-29 23:57:09
19,Kavieng,-2.5744,150.7967,84.72,70,95,10.04,PG,2021-10-29 23:57:09
20,Meulaboh,4.1363,96.1285,75.25,89,100,4.72,ID,2021-10-29 23:57:10
21,Nisia Floresta,-6.0911,-35.2086,77.81,77,53,11.99,BR,2021-10-29 23:52:18
22,Saskylakh,71.9167,114.0833,-9.17,97,99,8.99,RU,2021-10-29 23:57:10
23,Ribeira Grande,38.5167,-28.7,70.21,92,100,25.59,PT,2021-10-29 23:57:11
24,Jamestown,42.097,-79.2353,47.95,98,100,5.99,US,2021-10-29 23:56:26
25,Cidreira,-30.1811,-50.2056,68.36,86,73,21.0,BR,2021-10-29 23:57:11
26,Avarua,-21.2078,-159.775,78.85,65,75,12.66,CK,2021-10-29 23:57:12
27,Punta Arenas,-53.15,-70.9167,48.31,49,40,18.41,CL,2021-10-29 23:57:12
28,Kruisfontein,-34.0033,24.7314,58.89,84,49,17.76,ZA,2021-10-29 23:57:13
29,Port-Gentil,-0.7193,8.7815,80.56,89,75,13.8,GA,2021-10-29 23:57:13
30,Bambous Virieux,-20.3428,57.7575,72.21,94,75,3.44,MU,2021-10-29 23:57:01
31,Ancona,43.55,13.1667,53.67,73,69,5.01,IT,2021-10-29 23:57:14
32,Carnarvon,-24.8667,113.6333,69.87,46,0,18.41,AU,2021-10-29 23:57:14
33,Hovd,48.0056,91.6419,31.41,53,22,5.1,MN,2021-10-29 23:57:15
34,Vila Franca Do Campo,37.7167,-25.4333,73.2,93,84,15.93,PT,2021-10-29 23:57:15
